episode,timestep,s1,s2,s3,s4,s5,g_s,rb_x,rb_y,rb_z,a1,a2,a3,a4,a5,g_a,ns1,ns2,ns3,ns4,ns5,ng_s,nrb_x,nrb_y,nrb_z,jp_x,jp_y,jp_z,bp_x,bp_y,bp_z,distance,reward,ball_in_target,ball_out_of_playground,time_limit,done
0,0,4.350269461180224e-15,-1.5699999999883079,1.5700000000366456,1.5699999999996246,1.271788052316979e-13,0.0,0.16227085564944208,0.2015999999999998,-0.018460129471040088,1.0,1.0,1.0,1.0,-1.0,1.0,4.350269461180224e-15,-1.5699999999883079,1.5700000000366456,1.5699999999996246,1.271788052316979e-13,0.0,0.2510966944267137,0.2407036371336967,-0.16160673606027937,-0.05109669442671369,-0.040703637133696687,0.16160673606027937,0.2,0.2,0.0,0.3835420811612066,0.0,0,0,0,False
0,1,4.350269461180224e-15,-1.5699999999883079,1.5700000000366456,1.5699999999996246,1.271788052316979e-13,0.0,0.2510966944267137,0.2407036371336967,-0.16160673606027937,1.0,1.0,1.0,1.0,-1.0,1.0,4.350269461180224e-15,-1.5699999999883079,1.5700000000366456,1.5699999999996246,1.271788052316979e-13,0.0,0.2510966944267137,0.2407036371336967,-0.16160673606027937,-0.05109669442671369,-0.040703637133696687,0.16160673606027937,0.2,0.2,0.0,0.3835420811612066,-0.2217710405806033,0,0,1,False
0,2,4.350269461180224e-15,-1.5699999999883079,1.5700000000366456,1.5699999999996246,1.271788052316979e-13,0.0,0.2510966944267137,0.2407036371336967,-0.16160673606027937,1.0,1.0,1.0,1.0,-1.0,1.0,4.350269461180224e-15,-1.5699999999883079,1.5700000000366456,1.5699999999996246,1.271788052316979e-13,0.0,0.2510966944267137,0.2407036371336967,-0.16160673606027937,-0.05109669442671369,-0.040703637133696687,0.16160673606027937,0.2,0.2,0.0,0.3835420811612066,-0.2217710405806033,0,0,2,False
0,3,4.350269461180224e-15,-1.5699999999883079,1.5700000000366456,1.5699999999996246,1.271788052316979e-13,0.0,0.2510966944267137,0.2407036371336967,-0.16160673606027937,1.0,1.0,1.0,1.0,-1.0,1.0,4.350269461180224e-15,-1.5699999999883079,1.5700000000366456,1.5699999999996246,1.271788052316979e-13,0.0,0.250063867681352,0.2396958242450192,-0.1628590286801796,-0.05006386768135199,-0.03969582424501919,0.1628590286801796,0.2,0.2,0.0,0.3827650575782845,-0.21361229295992137,0,0,3,False
0,4,4.350269461180224e-15,-1.5699999999883079,1.5700000000366456,1.5699999999996246,1.271788052316979e-13,0.0,0.250063867681352,0.2396958242450192,-0.1628590286801796,1.0,1.0,1.0,1.0,-1.0,1.0,4.350269461180224e-15,-1.5699999999883079,1.5700000000366456,1.5699999999996246,1.271788052316979e-13,0.0,0.250063867681352,0.2396958242450192,-0.1628590286801796,-0.05006386768135199,-0.03969582424501919,0.1628590286801796,0.2,0.2,0.0,0.3827650575782845,-0.22138252878914225,0,0,4,False
0,5,4.350269461180224e-15,-1.5699999999883079,1.5700000000366456,1.5699999999996246,1.271788052316979e-13,0.0,0.250063867681352,0.2396958242450192,-0.1628590286801796,1.0,1.0,1.0,1.0,-1.0,1.0,0.784969640377943,0.7952856982992447,1.685011479936762,1.8936552685374577,1.1634242100485293,0.0,0.24978533163935154,0.23942373318953009,-0.16318742084058654,-0.04978533163935153,-0.039423733189530075,0.16318742084058654,0.2,0.2,0.0,0.38255270256161417,-0.2191528011141038,0,0,5,False
0,6,0.784969640377943,0.7952856982992447,1.685011479936762,1.8936552685374577,1.1634242100485293,0.0,0.24978533163935154,0.23942373318953009,-0.16318742084058654,1.0,1.0,1.0,1.0,-1.0,1.0,0.7850352846361629,0.7997427453195213,1.6850198129268876,1.893678718512115,1.163570940428367,0.0,0.24978533163935154,0.23942373318953009,-0.16318742084058654,-0.04978533163935153,-0.039423733189530075,0.16318742084058654,0.2,0.2,0.0,0.38255270256161417,-0.22127635128080708,0,0,6,False
0,7,0.7850352846361629,0.7997427453195213,1.6850198129268876,1.893678718512115,1.163570940428367,0.0,0.24978533163935154,0.23942373318953009,-0.16318742084058654,1.0,1.0,1.0,1.0,-1.0,1.0,0.7850352846361629,0.7997427453195213,1.6850198129268876,1.893678718512115,1.163570940428367,0.0,0.24978533163935154,0.23942373318953009,-0.16318742084058654,-0.04978533163935153,-0.039423733189530075,0.16318742084058654,0.2,0.2,0.0,0.38255270256161417,-0.22127635128080708,0,0,7,False
0,8,0.7850352846361629,0.7997427453195213,1.6850198129268876,1.893678718512115,1.163570940428367,0.0,0.24978533163935154,0.23942373318953009,-0.16318742084058654,1.0,1.0,1.0,1.0,-1.0,1.0,0.7851002724518006,0.8041552218695991,1.685028062587112,1.893701933987033,1.1637162035044122,0.0,0.24978533163935154,0.23942373318953009,-0.16318742084058654,-0.04978533163935153,-0.039423733189530075,0.16318742084058654,0.2,0.2,0.0,0.38255270256161417,-0.22127635128080708,0,0,8,False
0,9,0.7851002724518006,0.8041552218695991,1.685028062587112,1.893701933987033,1.1637162035044122,0.0,0.24978533163935154,0.23942373318953009,-0.16318742084058654,1.0,1.0,1.0,1.0,-1.0,1.0,0.7851002724518006,0.8041552218695991,1.685028062587112,1.893701933987033,1.1637162035044122,0.0,0.24978533163935154,0.23942373318953009,-0.16318742084058654,-0.04978533163935153,-0.039423733189530075,0.16318742084058654,0.2,0.2,0.0,0.38255270256161417,-0.22127635128080708,0,0,9,False
0,10,0.7851002724518006,0.8041552218695991,1.685028062587112,1.893701933987033,1.1637162035044122,0.0,0.24978533163935154,0.23942373318953009,-0.16318742084058654,1.0,1.0,1.0,1.0,-1.0,1.0,0.7851002724518006,0.8041552218695991,1.685028062587112,1.893701933987033,1.1637162035044122,0.0,0.249114620451389,0.23876803093934612,-0.16396247250707913,-0.049114620451388966,-0.03876803093934611,0.16396247250707913,0.2,0.2,0.0,0.3820365939434687,-0.21585721079027997,0,0,10,False
0,11,0.7851002724518006,0.8041552218695991,1.685028062587112,1.893701933987033,1.1637162035044122,0.0,0.249114620451389,0.23876803093934612,-0.16396247250707913,1.0,1.0,1.0,1.0,-1.0,1.0,0.7851002724518006,0.8041552218695991,1.685028062587112,1.893701933987033,1.1637162035044122,0.0,0.249114620451389,0.23876803093934612,-0.16396247250707913,-0.049114620451388966,-0.03876803093934611,0.16396247250707913,0.2,0.2,0.0,0.3820365939434687,-0.22101829697173436,0,0,11,False
