episode,timestep,s1,s2,s3,s4,s5,g_s,rb_x,rb_y,rb_z,a1,a2,a3,a4,a5,g_a,ns1,ns2,ns3,ns4,ns5,ng_s,nrb_x,nrb_y,nrb_z,jp_x,jp_y,jp_z,bp_x,bp_y,bp_z,distance,reward,ball_in_target,ball_out_of_playground,time_limit,done
0,0,4.390451685546284e-15,-1.5700000000296506,1.5700000000777008,1.5700000000410956,1.286876911095755e-13,0.0,0.16227085568631985,0.20159999999999978,-0.018460129445584256,0.9140014052391052,-0.7739526629447937,0.9572767019271851,-0.8478074073791504,-0.6800025105476379,0.07353491336107254,4.390451685546284e-15,-1.5700000000296506,1.5700000000777008,1.5700000000410956,1.286876911095755e-13,0.0,0.162270855686011,0.2015999999999998,-0.018460129445871387,0.03772914431398902,-0.0015999999999997871,0.018460129445871387,0.2,0.2,0.0,0.2594516659885391,0.0,0,0,0,False
0,1,4.390451685546284e-15,-1.5700000000296506,1.5700000000777008,1.5700000000410956,1.286876911095755e-13,0.0,0.162270855686011,0.2015999999999998,-0.018460129445871387,0.9828141331672668,-0.8637343049049377,0.988736629486084,-0.48477494716644287,-0.77042555809021,0.14011025428771973,0.0029669718765312687,-1.5702346343185372,1.5702652768764003,1.5652833784691735,0.00529227644079451,0.0,0.16227085568600935,0.2015999999999998,-0.018460129445872997,0.03772914431399067,-0.001599999999999787,0.018460129445872997,0.2,0.2,0.0,0.2594516659885382,-0.15972583299426021,0,0,1,False
0,2,0.0029669718765312687,-1.5702346343185372,1.5702652768764003,1.5652833784691735,0.00529227644079451,0.0,0.16227085568600935,0.2015999999999998,-0.018460129445872997,0.9946727156639099,-0.7696206569671631,0.9567940831184387,-0.7396317720413208,-0.2952558398246765,-0.29570290446281433,0.016171890055574678,-1.571624173354326,1.5716023227214926,1.5484551635894295,0.022758652460657842,0.0,0.16030312824764503,0.20094129069869668,-0.01832664796554498,0.03969687175235499,-0.00094129069869666,0.01832664796554498,0.2,0.2,0.0,0.2577020784923786,-0.1413551642845932,0,0,2,False
0,3,0.016171890055574678,-1.571624173354326,1.5716023227214926,1.5484551635894295,0.022758652460657842,0.0,0.16030312824764503,0.20094129069869668,-0.01832664796554498,0.9993875622749329,-0.8369709253311157,0.9973915815353394,-0.5217692852020264,-0.4913593530654907,-0.2483159303665161,0.016171890055574678,-1.571624173354326,1.5716023227214926,1.5484551635894295,0.022758652460657842,0.0,0.15767034416049122,0.19970358785774464,-0.01813912463848846,0.04232965583950879,0.00029641214225536094,0.01813912463848846,0.2,0.2,0.0,0.2550891771000767,-0.13141557462701978,0,0,3,False
0,4,0.016171890055574678,-1.571624173354326,1.5716023227214926,1.5484551635894295,0.022758652460657842,0.0,0.15767034416049122,0.19970358785774464,-0.01813912463848846,0.992782473564148,-0.7132537364959717,0.9254871606826782,-0.48293089866638184,-0.7716364860534668,0.12646876275539398,0.03537189005494468,-1.5709029726742159,1.5728216662061203,1.529255163596195,0.04195865244741385,0.0,0.1557085792175968,0.19867099376821867,-0.018010186368300568,0.04429142078240324,0.0013290062317813257,0.018010186368300568,0.2,0.2,0.0,0.25306064929149913,-0.1362450465599736,0,0,4,False
0,5,0.03537189005494468,-1.5709029726742159,1.5728216662061203,1.529255163596195,0.04195865244741385,0.0,0.1557085792175968,0.19867099376821867,-0.018010186368300568,0.9230672717094421,-0.7574625611305237,0.006423146463930607,-0.8199155926704407,-0.4092344343662262,-0.2739896774291992,0.07079177638677737,-1.567848539167186,1.5639143498339245,1.4876870967483569,0.0855935343404927,0.0,0.1519637256856852,0.19739413965727895,-0.019785498993366984,0.048036274314314814,0.002605860342721067,0.019785498993366984,0.2,0.2,0.0,0.24989775162199448,-0.1233198991159508,0,0,5,False
0,6,0.07079177638677737,-1.567848539167186,1.5639143498339245,1.4876870967483569,0.0855935343404927,0.0,0.1519637256856852,0.19739413965727895,-0.019785498993366984,0.9893388748168945,-0.7918246388435364,0.9243757724761963,-0.8946695327758789,-0.4310017228126526,0.007125942502170801,0.08402728639112703,-1.5674391941846824,1.554338107032916,1.470723067664471,0.10274938118261184,0.0,0.1519637256856852,0.19739413965727895,-0.019785498993366984,0.048036274314314814,0.002605860342721067,0.019785498993366984,0.2,0.2,0.0,0.24989775162199448,-0.15494887581099726,0,0,6,False
0,7,0.08402728639112703,-1.5674391941846824,1.554338107032916,1.470723067664471,0.10274938118261184,0.0,0.1519637256856852,0.19739413965727895,-0.019785498993366984,0.9804539680480957,-0.4269251823425293,0.9822177290916443,-0.803153395652771,-0.20996078848838806,-0.2133457362651825,0.101736289300777,-1.5607660605952272,1.5554953224057184,1.4491590409169381,0.12491504836977507,0.0,0.1483400402571013,0.19601304740885855,-0.021702570266353333,0.051659959742898734,0.003986952591141471,0.021702570266353333,0.2,0.2,0.0,0.24677293987419258,-0.1221383524590772,0,0,7,False
0,8,0.101736289300777,-1.5607660605952272,1.5554953224057184,1.4491590409169381,0.12491504836977507,0.0,0.1483400402571013,0.19601304740885855,-0.021702570266353333,0.9941550493240356,-0.5977227091789246,0.9977062344551086,-0.7510991096496582,-0.7068672180175781,0.15612995624542236,0.11548158756509018,-1.5495382642269298,1.5580875166971968,1.4325598172538254,0.14168756802226826,0.0,0.1470091359757827,0.19472561015010456,-0.02091137729082515,0.052990864024217335,0.005274389849895449,0.02091137729082515,0.2,0.2,0.0,0.24488167552692852,-0.13352819429082372,0,0,8,False
0,9,0.11548158756509018,-1.5495382642269298,1.5580875166971968,1.4325598172538254,0.14168756802226826,0.0,0.1470091359757827,0.19472561015010456,-0.02091137729082515,0.9677478671073914,-0.6133151054382324,0.9823140501976013,-0.4145146608352661,-0.9393805861473083,-0.19694994390010834,0.1284806873166301,-1.5440278329449946,1.5605128223754503,1.4180247613810713,0.15776450873107634,0.0,0.1458415219675811,0.19340112387104963,-0.019916281508836786,0.05415847803241891,0.00659887612895037,0.019916281508836786,0.2,0.2,0.0,0.2430440341039968,-0.13314560282268123,0,0,9,False
