episode,timestep,s1,s2,s3,s4,s5,g_s,rb_x,rb_y,rb_z,a1,a2,a3,a4,a5,g_a,ns1,ns2,ns3,ns4,ns5,ng_s,nrb_x,nrb_y,nrb_z,jp_x,jp_y,jp_z,bp_x,bp_y,bp_z,distance,reward,done
0,0,4.3406562435536524e-15,-1.5700000000293026,1.5700000000768075,1.5700000000406173,1.2722733603900467e-13,0.0,0.16227085568597496,0.2015999999999998,-0.018460129445904416,-1.0,1.0,-1.0,1.0,1.0,1.0,4.3406562435536524e-15,-1.5700000000293026,1.5700000000768075,1.5700000000406173,1.2722733603900467e-13,0.0,0.16227085568597496,0.2015999999999998,-0.018460129445904416,0.03772914431402505,-0.0015999999999997882,0.018460129445904416,0.2,0.2,0.0,0.25945166598851893,0.0,False
0,1,4.3406562435536524e-15,-1.5700000000293026,1.5700000000768075,1.5700000000406173,1.2722733603900467e-13,0.0,0.16227085568597496,0.2015999999999998,-0.018460129445904416,-1.0,1.0,-1.0,1.0,1.0,1.0,4.340656243553665e-15,-1.5700000000293026,1.5700000000768075,1.5700000000406173,1.2722733650656624e-13,0.0,0.16227085568597496,0.2015999999999998,-0.018460129445904416,0.03772914431402505,-0.0015999999999997882,0.018460129445904416,0.2,0.2,0.0,0.25945166598851893,-0.25945166598851893,False
0,2,4.340656243553665e-15,-1.5700000000293026,1.5700000000768075,1.5700000000406173,1.2722733650656624e-13,0.0,0.16227085568597496,0.2015999999999998,-0.018460129445904416,-1.0,1.0,-1.0,1.0,1.0,1.0,-0.00017868599599590144,-1.5698213140341808,1.5698213140830946,1.570178686037788,0.00017868599598426353,0.0,0.16227578996290104,0.20160293845253976,-0.018466910768564163,0.03772421003709896,-0.001602938452539758,0.018466910768564163,0.2,0.2,0.0,0.25945751789862675,-0.2595745561007832,False
0,3,-0.00017868599599590144,-1.5698213140341808,1.5698213140830946,1.570178686037788,0.00017868599598426353,0.0,0.16227578996290104,0.20160293845253976,-0.018466910768564163,-1.0,1.0,-1.0,1.0,1.0,1.0,-0.0009438690117620037,-1.569056131019571,1.5690561310703008,1.5709438690549549,0.0009438690111746105,0.0,0.16233891770115724,0.20164049206865395,-0.018553723234293912,0.03766108229884277,-0.0016404920686539442,0.018553723234293912,0.2,0.2,0.0,0.2595323734872526,-0.2610294852597697,False
0,4,-0.0009438690117620037,-1.569056131019571,1.5690561310703008,1.5709438690549549,0.0009438690111746105,0.0,0.16233891770115724,0.20164049206865395,-0.018553723234293912,-1.0,1.0,-1.0,1.0,1.0,1.0,-0.001467443766075169,-1.5685356850725705,1.568535685125141,1.5714643150045842,0.0014643149589491013,0.0,0.16239121715789678,0.2016716975751023,-0.018625713819729106,0.03760878284210323,-0.0016716975751023078,0.018625713819729106,0.2,0.2,0.0,0.25959448805423657,-0.2608367793939158,False
0,5,-0.001467443766075169,-1.5685356850725705,1.568535685125141,1.5714643150045842,0.0014643149589491013,0.0,0.16239121715789678,0.2016716975751023,-0.018625713819729106,-1.0,1.0,-1.0,1.0,1.0,1.0,-0.002227143498766775,-1.567776606235842,1.567776606290223,1.5722233938438663,0.0022233937962799983,0.0,0.16239121715789678,0.2016716975751023,-0.018625713819729106,0.03760878284210323,-0.0016716975751023078,0.018625713819729106,0.2,0.2,0.0,0.25959448805423657,-0.25959448805423657,False
0,6,-0.002227143498766775,-1.567776606235842,1.567776606290223,1.5722233938438663,0.0022233937962799983,0.0,0.16239121715789678,0.2016716975751023,-0.018625713819729106,-1.0,1.0,-1.0,1.0,1.0,1.0,-0.003205459479393582,-1.566798267640755,1.5667982676969026,1.573201732441409,0.0032017323918058747,0.0,0.16246778518630112,0.20171710130917733,-0.01873124419213948,0.03753221481369888,-0.0017171013091773282,0.01873124419213948,0.2,0.2,0.0,0.25968525120403846,-0.2615005142000762,False
0,7,-0.003205459479393582,-1.566798267640755,1.5667982676969026,1.573201732441409,0.0032017323918058747,0.0,0.16246778518630112,0.20171710130917733,-0.01873124419213948,-1.0,1.0,-1.0,1.0,1.0,1.0,-0.0036140423398459617,-1.5663896849044199,1.566391363759771,1.5736086363830182,0.003608636331645948,0.0,0.1625480491455198,0.20176454943159958,-0.018841756436029103,0.037451950854480234,-0.0017645494315995651,0.018841756436029103,0.2,0.2,0.0,0.25978031771853954,-0.26168164800856125,False
0,8,-0.0036140423398459617,-1.5663896849044199,1.566391363759771,1.5736086363830182,0.003608636331645948,0.0,0.1625480491455198,0.20176454943159958,-0.018841756436029103,-1.0,1.0,-1.0,1.0,1.0,1.0,-0.004372969086654702,-1.5656307581563598,1.5658048342008393,1.5741951659463727,0.004195165893136855,0.0,0.16261501964377661,0.20180421175482177,-0.018906495616523106,0.03738498035622338,-0.0018042117548217476,0.018906495616523106,0.2,0.2,0.0,0.2598577304453889,-0.26140598498237605,False
0,9,-0.004372969086654702,-1.5656307581563598,1.5658048342008393,1.5741951659463727,0.004195165893136855,0.0,0.16261501964377661,0.20180421175482177,-0.018906495616523106,-1.0,1.0,-1.0,1.0,1.0,1.0,-0.005009499928323973,-1.5649942273158826,1.5651649203794233,1.5748350797721624,0.0048350797170648215,0.0,0.16268145662764844,0.20184330752349583,-0.018999254373727403,0.03731854337235159,-0.0018433075234958215,0.018999254373727403,0.2,0.2,0.0,0.25993643220848356,-0.2615104674703767,False
