episode,timestep,s1,s2,s3,s4,s5,g_s,rb_x,rb_y,rb_z,a1,a2,a3,a4,a5,g_a,ns1,ns2,ns3,ns4,ns5,ng_s,nrb_x,nrb_y,nrb_z,jp_x,jp_y,jp_z,bp_x,bp_y,bp_z,distance,reward,done
0,0,9.889873443214086e-15,-1.5699999763897952,1.5699999769056252,1.5699999764064607,9.917761901851996e-14,0.0,0.1622708470733143,0.20159999999999917,-0.01846013537449953,1.0,-1.0,1.0,1.0,-1.0,1.0,9.889873443214086e-15,-1.5699999763897952,1.5699999769056252,1.5699999764064607,9.917761901851996e-14,0.0,0.16227085237099664,0.20159999999999956,-0.018460131727796814,0.03772914762900337,-0.0015999999999995488,0.018460131727796814,0.2,0.2,0.0,0.2594516640775642,0.0,False
0,1,9.889873443214086e-15,-1.5699999763897952,1.5699999769056252,1.5699999764064607,9.917761901851996e-14,0.0,0.16227085237099664,0.20159999999999956,-0.018460131727796814,1.0,-1.0,1.0,1.0,-1.0,1.0,9.210212796874409e-15,-1.5699999792851391,1.569999979743609,1.5699999793011494,1.0261314055266007e-13,0.0,0.16227085237099664,0.20159999999999956,-0.018460131727796814,0.03772914762900337,-0.0015999999999995488,0.018460131727796814,0.2,0.2,0.0,0.2594516640775642,-0.2594516640775642,False
0,2,9.210212796874409e-15,-1.5699999792851391,1.569999979743609,1.5699999793011494,1.0261314055266007e-13,0.0,0.16227085237099664,0.20159999999999956,-0.018460131727796814,1.0,-1.0,1.0,1.0,-1.0,1.0,0.000178685996008725,-1.570178665881399,1.5701786663294133,1.570178665897573,-0.0001786859957817427,0.0,0.16228983900472962,0.20159415415687984,-0.018446614724894783,0.037710160995270386,-0.0015941541568798162,0.018446614724894783,0.2,0.2,0.0,0.2594580359696296,-0.259585473810937,False
0,3,0.000178685996008725,-1.570178665881399,1.5701786663294133,1.570178665897573,-0.0001786859957817427,0.0,0.16228983900472962,0.20159415415687984,-0.018446614724894783,1.0,-1.0,1.0,1.0,-1.0,1.0,0.000532516716321952,-1.570532496596713,1.5705324970462395,1.5705324966131415,-0.0005325167158479901,0.0,0.16228983900472962,0.20159415415687984,-0.018446614724894783,0.037710160995270386,-0.0015941541568798162,0.018446614724894783,0.2,0.2,0.0,0.2594580359696296,-0.2594580359696296,False
0,4,0.000532516716321952,-1.570532496596713,1.5705324970462395,1.5705324966131415,-0.0005325167158479901,0.0,0.16228983900472962,0.20159415415687984,-0.018446614724894783,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0008834621051829747,-1.5708834419865205,1.5708834424374363,1.5708834420031996,-0.0008834621044619234,0.0,0.16237415263677057,0.20156824585382202,-0.018386595177808066,0.03762584736322944,-0.0015682458538220205,0.018386595177808066,0.2,0.2,0.0,0.2594863966826174,-0.2600536109423742,False
0,5,0.0008834621051829747,-1.5708834419865205,1.5708834424374363,1.5708834420031996,-0.0008834621044619234,0.0,0.16237415263677057,0.20156824585382202,-0.018386595177808066,1.0,-1.0,1.0,1.0,-1.0,1.0,0.001234450724662358,-1.5712344306068544,1.5712344310591593,1.57123443062378,-0.001234450723691062,0.0,0.16246710589490332,0.20153977989043168,-0.018320435210611493,0.037532894105096706,-0.001539779890431658,0.018320435210611493,0.2,0.2,0.0,0.25951778690959815,-0.2601455914492128,False
0,6,0.001234450724662358,-1.5712344306068544,1.5712344310591593,1.57123443062378,-0.001234450723691062,0.0,0.16246710589490332,0.20153977989043168,-0.018320435210611493,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0017026319685346908,-1.5717026118518682,1.571702612306025,1.5717026118691169,-0.0017026319672262026,0.0,0.16246710589490332,0.20153977989043168,-0.018320435210611493,0.037532894105096706,-0.001539779890431658,0.018320435210611493,0.2,0.2,0.0,0.25951778690959815,-0.25951778690959815,False
0,7,0.0017026319685346908,-1.5717026118518682,1.571702612306025,1.5717026118691169,-0.0017026319672262026,0.0,0.16246710589490332,0.20153977989043168,-0.018320435210611493,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0022859098997953,-1.5722858897842606,1.572285890240261,1.5722858898018046,-0.002285909898065589,0.0,0.16256944506428303,0.20150855741677115,-0.01824760657565938,0.03743055493571698,-0.0015085574167711484,0.01824760657565938,0.2,0.2,0.0,0.2595524962824229,-0.26024668373891763,False
0,8,0.0022859098997953,-1.5722858897842606,1.572285890240261,1.5722858898018046,-0.002285909898065589,0.0,0.16256944506428303,0.20150855741677115,-0.01824760657565938,1.0,-1.0,1.0,1.0,-1.0,1.0,0.002867272496365005,-1.572867252381965,1.572867252839806,1.572867252399796,-0.0028672724942154703,0.0,0.16269894661325957,0.20146922497689687,-0.018155465718767,0.037301053386740446,-0.0014692249768968586,0.018155465718767,0.2,0.2,0.0,0.2595966424615717,-0.2604795660445483,False
0,9,0.002867272496365005,-1.572867252381965,1.572867252839806,1.572867252399796,-0.0028672724942154703,0.0,0.16269894661325957,0.20146922497689687,-0.018155465718767,1.0,-1.0,1.0,1.0,-1.0,1.0,0.003332267953149675,-1.573332247839602,1.5733322482988175,1.5733322478576341,-0.003332267950664059,0.0,0.1628003904412957,0.2014385523211523,-0.01808330168478417,0.0371996095587043,-0.001438552321152289,0.01808330168478417,0.2,0.2,0.0,0.25963139888869924,-0.26032652743124973,False
