episode,timestep,s1,s2,s3,s4,s5,g_s,a1,a2,a3,a4,a5,g_a,ns1,ns2,ns3,ns4,ns5,ng_s,jp_x,jp_y,jp_z,bp_x,bp_y,bp_z,distance,reward,done
0,0,9.14353364397549e-13,-1.5699961222700394,1.569996206359883,1.5699961229396457,-4.475965203658287e-12,0.0,0.19368396699428558,-0.9005745649337769,0.8695889115333557,0.9294155240058899,0.014689111150801182,0.20175701379776,9.14353364397549e-13,-1.5699961222700394,1.569996206359883,1.5699961229396457,-4.475965203658287e-12,0.0,0.0377296819231462,-0.0015999999999610657,0.018460499001823838,0.2,0.2,0.0,0.25945135604221453,0.0,False
0,1,9.14353364397549e-13,-1.5699961222700394,1.569996206359883,1.5699961229396457,-4.475965203658287e-12,0.0,0.19368396699428558,-0.9005745649337769,0.8695889115333557,0.9294155240058899,0.014689111150801182,0.20175701379776,8.109621525728995e-13,-1.5699965628421566,1.5699966373835186,1.5699965634369704,-3.952973252351024e-12,0.0,0.0377296819231462,-0.0015999999999610657,0.018460499001823838,0.2,0.2,0.0,0.25945135604221453,-0.25945135604221453,False
0,2,8.109621525728995e-13,-1.5699965628421566,1.5699966373835186,1.5699965634369704,-3.952973252351024e-12,0.0,0.19368399679660797,-0.9005746841430664,0.8695889711380005,0.9294155836105347,0.01468914095312357,0.20175719261169434,0.000159573473626289,-1.5707386223562967,1.5707131663162464,1.5707623845745873,1.2102151584687828e-05,0.0,0.03766916392805186,-0.0015960601326162223,0.01842019296983033,0.2,0.2,0.0,0.2594832852224916,-0.26012186882803273,False
0,3,0.000159573473626289,-1.5707386223562967,1.5707131663162464,1.5707623845745873,1.2102151584687828e-05,0.0,0.1939663141965866,-0.9007477164268494,0.8697922229766846,0.9295531511306763,0.014820444397628307,0.20207028090953827,0.00019316301068585776,-1.5708948034949448,1.5708639737846208,1.5709235674277116,1.4649607701044881e-05,0.0,0.03755099086505932,-0.0015883914302790287,0.018341489826629392,0.2,0.2,0.0,0.25954569997869703,-0.2607939951028059,False
0,4,0.00019316301068585776,-1.5708948034949448,1.5708639737846208,1.5709235674277116,1.4649607701044881e-05,0.0,0.1940256655216217,-0.9007840156555176,0.8698348999023438,0.9295820593833923,0.014848027378320694,0.20213621854782104,0.0005010871892770395,-1.5723262434761345,1.572246172695821,1.5724008380803414,3.8033129779900795e-05,0.0,0.037378214555023326,-0.0015772387340960154,0.018226425271189506,0.2,0.2,0.0,0.25963711378603216,-0.2614653899327347,False
0,5,0.0005010871892770395,-1.5723262434761345,1.572246172695821,1.5724008380803414,3.8033129779900795e-05,0.0,0.19457031786441803,-0.9011168479919434,0.8702259659767151,0.9298465251922607,0.015101245604455471,0.2027399241924286,0.000611516041090582,-1.5728385011223607,1.5727408435159569,1.572929457493072,4.652425076972431e-05,0.0,0.03728777420991583,-0.001571418911212704,0.01816619102040284,0.2,0.2,0.0,0.25968503198997184,-0.2606433960687654,False
0,6,0.000611516041090582,-1.5728385011223607,1.5727408435159569,1.572929457493072,4.652425076972431e-05,0.0,0.19476523995399475,-0.9012356996536255,0.8703656196594238,0.929940938949585,0.015191988088190556,0.2029559314250946,0.0007806994870416001,-1.5736218804905322,1.5734973733052906,1.5737378069385333,5.967083890793373e-05,0.0,0.03716121275409577,-0.0015632892843674244,0.018081892495886806,0.2,0.2,0.0,0.25975216082851604,-0.26109473759940016,False
0,7,0.0007806994870416001,-1.5736218804905322,1.5734973733052906,1.5737378069385333,5.967083890793373e-05,0.0,0.19506369531154633,-0.9014172554016113,0.8705790638923645,0.9300850629806519,0.015330774709582329,0.20328621566295624,0.0008920268268172941,-1.5741368011300703,1.5739946634239277,1.5742691202421886,6.837606677246429e-05,0.0,0.03706152260516392,-0.0015569054471908216,0.018015490250210126,0.2,0.2,0.0,0.2598051027946733,-0.26086394211781805,False
0,8,0.0008920268268172941,-1.5741368011300703,1.5739946634239277,1.5742691202421886,6.837606677246429e-05,0.0,0.19525998830795288,-0.9015364050865173,0.8707190752029419,0.9301796555519104,0.015422037802636623,0.20350335538387299,0.0010055093127511342,-1.5746610707158069,1.5745010020557735,1.5748646656895262,7.820959282967578e-05,0.0,0.03706152260516392,-0.0015569054471908216,0.018015490250210126,0.2,0.2,0.0,0.2598051027946733,-0.2598051027946733,False
0,9,0.0010055093127511342,-1.5746610707158069,1.5745010020557735,1.5748646656895262,7.820959282967578e-05,0.0,0.19546282291412354,-0.9016604423522949,0.8708649277687073,0.9302839636802673,0.015521181747317314,0.20373229682445526,0.001174080484817701,-1.575439227962274,1.575252564382792,1.5756662732760995,9.151849111745516e-05,0.0,0.03691135473654092,-0.0015477404435624102,0.017919816789936708,0.2,0.2,0.0,0.2598855858364617,-0.26149524667223023,False
0,10,0.001174080484817701,-1.575439227962274,1.575252564382792,1.5756662732760995,9.151849111745516e-05,0.0,0.19575951993465424,-0.9018399715423584,0.8710761070251465,0.9304262399673462,0.015659065917134285,0.20406009256839752,0.0012630272862706256,-1.5758494550572377,1.575648783026179,1.5760895407920852,9.858961927401014e-05,0.0,0.03678757817813284,-0.001539867888847155,0.01783733164172431,0.2,0.2,0.0,0.25995150198779376,-0.2612698250144349,False
0,11,0.0012630272862706256,-1.5758494550572377,1.575648783026179,1.5760895407920852,9.858961927401014e-05,0.0,0.19591601192951202,-0.9019345045089722,0.8711873292922974,0.9305012226104736,0.015731817111372948,0.20423302054405212,0.0013314416876801993,-1.5761645869973262,1.5759531665000412,1.576414659769479,0.00010406647708224703,0.0,0.03678757817813284,-0.001539867888847155,0.01783733164172431,0.2,0.2,0.0,0.25995150198779376,-0.25995150198779376,False
0,12,0.0013314416876801993,-1.5761645869973262,1.5759531665000412,1.576414659769479,0.00010406647708224703,0.0,0.19603636860847473,-0.9020071625709534,0.8712728023529053,0.9305587410926819,0.015787847340106964,0.20436586439609528,0.0014323119265668475,-1.57662895691865,1.57640170606964,1.5768937373944867,0.00011216664933224566,0.0,0.03668601006105379,-0.0015334257284733068,0.017769674171122546,0.2,0.2,0.0,0.26000565823800864,-0.26108878324230617,False
0,13,0.0014323119265668475,-1.57662895691865,1.57640170606964,1.5768937373944867,0.00011216664933224566,0.0,0.1962135136127472,-0.9021140336990356,0.8713985681533813,0.9306434392929077,0.015870260074734688,0.2045615017414093,0.0015009535762099209,-1.5769446625580894,1.576706658709356,1.5772194314903447,0.00011770722783089382,0.0,0.036603035066679585,-0.0015281765531537158,0.01771440096116607,0.2,0.2,0.0,0.26004994538679066,-0.26093568836243103,False
0,14,0.0015009535762099209,-1.5769446625580894,1.576706658709356,1.5772194314903447,0.00011770722783089382,0.0,0.1963341236114502,-0.9021866321563721,0.8714840412139893,0.930700957775116,0.01592637039721012,0.20469458401203156,0.0016501258182054159,-1.577630466802411,1.577369113510004,1.5779269231643096,0.00012977576157736858,0.0,0.036603035066679585,-0.0015281765531537158,0.01771440096116607,0.2,0.2,0.0,0.26004994538679066,-0.26004994538679066,False
0,15,0.0016501258182054159,-1.577630466802411,1.577369113510004,1.5779269231643096,0.00012977576157736858,0.0,0.19659602642059326,-0.9023441672325134,0.8716694712638855,0.9308257102966309,0.016048118472099304,0.20498354732990265,0.0017410835873490993,-1.5780482399965259,1.5777726754613615,1.5783578934791975,0.00013717261426660893,0.0,0.03647610034629867,-0.0015201717168921533,0.017629843007933188,0.2,0.2,0.0,0.2601177747314548,-0.2614743616247378,False
0,16,0.0017410835873490993,-1.5780482399965259,1.5777726754613615,1.5783578934791975,0.00013717261426660893,0.0,0.19675566256046295,-0.9024400115013123,0.8717823028564453,0.9309016466140747,0.016122441738843918,0.20515944063663483,0.0018563833200883016,-1.5785773658982567,1.5782838165922979,1.5789037177440632,0.00014659235144091448,0.0,0.03635762853201861,-0.00151272552987279,0.017550919780384727,0.2,0.2,0.0,0.2601811658734739,-0.26144898871385563,False
0,17,0.0018563833200883016,-1.5785773658982567,1.5782838165922979,1.5789037177440632,0.00014659235144091448,0.0,0.19695788621902466,-0.9025613069534302,0.8719251155853271,0.9309976100921631,0.016216518357396126,0.20538249611854553,0.001960079155922542,-1.5790527816015631,1.5787430876995705,1.579394120288859,0.0001551081664123195,0.0,0.03628987765676513,-0.001508477963326867,0.01750578436632115,0.2,0.2,0.0,0.26021745393999546,-0.2609432152704267,False
