episode,timestep,s1,s2,s3,s4,s5,g_s,n_s1,n_s2,n_s3,n_s4,n_s5,n_g_s,a1,a2,a3,a4,a5,g_a,jp_x,jp_y,jp_z,bp_x,bp_y,bp_z,reward,done
0,0,4.397576674510923e-15,-1.5699999997866838,1.5699999998388714,1.5699999997980303,1.269393316610554e-13,0.0,0.7968711256980896,-0.7100356221199036,0.031614284962415695,0.15910203754901886,0.29283785820007324,-0.026524459943175316,4.397576674510923e-15,-1.5699999997866838,1.5699999998388714,1.5699999997980303,1.269393316610554e-13,0.0,0.03796967666117976,-0.001320469959536259,0.01867164332998547,0.2,0.2,0.0,0.0,False
0,1,4.397576674510923e-15,-1.5699999997866838,1.5699999998388714,1.5699999997980303,1.269393316610554e-13,0.0,0.7459747791290283,-0.6076266765594482,-0.2882251739501953,-0.3347276747226715,0.256709486246109,0.11079342663288116,4.397576674510923e-15,-1.5699999997866838,1.5699999998388714,1.5699999997980303,1.269393316610554e-13,0.0,0.03810907940378647,-0.0011558840635113392,0.018795501683794,0.2,0.2,0.0,-0.2547711409653356,False
0,2,4.397576674510923e-15,-1.5699999997866838,1.5699999998388714,1.5699999997980303,1.269393316610554e-13,0.0,0.5969367623329163,-0.916626513004303,-0.11743912845849991,0.2877243757247925,0.40005695819854736,0.2162545919418335,0.010050459040823528,-1.578974949329985,1.57037138613233,1.5719880411153473,0.0037031949820531514,0.0,0.03813965233040849,-0.001119530173695178,0.018822793166913834,0.2,0.2,0.0,-0.2579400846279325,False
0,3,0.010050459040823528,-1.578974949329985,1.57037138613233,1.5719880411153473,0.0037031949820531514,0.0,-0.15420497953891754,-0.765213131904602,0.02760598249733448,0.533231258392334,0.255082905292511,0.2244674265384674,0.010099552009117043,-1.5792935495146576,1.5703383573216947,1.5721490331512566,0.0038301895161146344,0.0,0.03816453236727603,-0.0011018730210991168,0.018846372917014534,0.2,0.2,0.0,-0.25826892639919896,False
0,4,0.010099552009117043,-1.5792935495146576,1.5703383573216947,1.5721490331512566,0.0038301895161146344,0.0,-0.24218644201755524,-0.4314371347427368,-0.27121108770370483,0.3197667896747589,0.22103099524974823,0.15860813856124878,0.009946032344350911,-1.5799019769967888,1.570310061822872,1.5725780886676126,0.004046298603384096,0.0,0.03816603414791285,-0.0011041975743084017,0.018874556693722316,0.2,0.2,0.0,-0.25888148447262144,False
0,5,0.009946032344350911,-1.5799019769967888,1.570310061822872,1.5725780886676126,0.004046298603384096,0.0,0.15359282493591309,-0.7670548558235168,0.15255461633205414,-0.2620394229888916,0.3179665207862854,0.056627195328474045,0.009876343884904668,-1.5802074050431139,1.570226214403964,1.572655814375622,0.004190861570113719,0.0,0.03817977545572522,-0.001113292606959097,0.018922149998128607,0.2,0.2,0.0,-0.25886402469904,False
0,6,0.009876343884904668,-1.5802074050431139,1.570226214403964,1.572655814375622,0.004190861570113719,0.0,0.4987908899784088,-0.7527092695236206,-0.4371999502182007,-0.152033731341362,0.21043716371059418,0.08244874328374863,0.010030285443787621,-1.5806531916908098,1.5702120528308363,1.5725192713519627,0.004357122769154665,0.0,0.03823060181624097,-0.0011066666915707584,0.01893571742160169,0.2,0.2,0.0,-0.2580704685000467,False
0,7,0.010030285443787621,-1.5806531916908098,1.5702120528308363,1.5725192713519627,0.004357122769154665,0.0,0.031529106199741364,-0.6265047788619995,-0.1504252552986145,0.4475501775741577,0.5355172753334045,-0.011125016026198864,0.010383545163810563,-1.581284414558132,1.5698771460027587,1.5724960148554143,0.004597127652947945,0.0,0.03833715501179538,-0.0010852352098169363,0.01902848197105253,0.2,0.2,0.0,-0.2571837345446326,False
0,8,0.010383545163810563,-1.581284414558132,1.5698771460027587,1.5724960148554143,0.004597127652947945,0.0,0.3653063476085663,-0.6894243955612183,-0.3868720531463623,0.6426528096199036,0.5744536519050598,0.30018338561058044,0.01045635707589625,-1.5816558669943193,1.5697512113650305,1.5727959652786137,0.004916810029162835,0.0,0.038345505875974434,-0.0010814609116260056,0.019073168319352213,0.2,0.2,0.0,-0.25861055665884436,False
0,9,0.01045635707589625,-1.5816558669943193,1.5697512113650305,1.5727959652786137,0.004916810029162835,0.0,0.712124228477478,-0.7484828233718872,-0.27584144473075867,0.03452582284808159,0.34701287746429443,0.025905875489115715,0.010649431270404526,-1.581980493972355,1.5695762778167108,1.5730595765979107,0.0051705281340788745,0.0,0.038345505875974434,-0.0010814609116260056,0.019073168319352213,0.2,0.2,0.0,-0.25870777943963486,False
