timestep,episode,s1,s2,s3,s4,s5,s6,next_s1,next_s2,next_s3,next_s4,next_s5,next_s6,a1,a2,a3,a4,a5,a6,ball_pos_x,ball_pos_y,ball_pos_z,wrist_3_x,wrist_3_y,wrist_3_z,reward,done
0,0,0.066049724817276,-1.5868443250656128,0.04839743301272392,-1.5674666166305542,-0.0692850798368454,-0.03406432643532753,0.066049724817276,-1.5868443250656128,0.04839743301272392,-1.5674666166305542,-0.0692850798368454,-0.03406432643532753,-0.37319695949554443,0.38122501969337463,0.3903639018535614,0.6744895577430725,-0.8036742210388184,0.43255284428596497,0.229139,-0.311232,0.03648568405566592,0.000920872456637827,0.23323037047092932,1.078830658532211,98.3582427105285,True
1,1,0.06604809314012527,-1.5868479013442993,0.04840564727783203,-1.5674628019332886,-0.06927621364593506,-0.03407308831810951,0.06604809314012527,-1.5868479013442993,0.048405639827251434,-1.5674628019332886,-0.06927622109651566,-0.034073084592819214,-0.8971347212791443,0.7163976430892944,-0.706918478012085,0.044535547494888306,0.707511842250824,0.8394132852554321,0.670373,-0.170169,0.4514856840562585,0.0009214833292740133,0.23323044537026175,1.0788305187651417,-1.65036151498236,False
2,1,0.06604809314012527,-1.5868479013442993,0.048405639827251434,-1.5674628019332886,-0.06927622109651566,-0.034073084592819214,0.06604643911123276,-1.5868515968322754,0.04841392859816551,-1.5674588680267334,-0.06926727294921875,-0.034081924706697464,-0.1986248791217804,-0.1410563588142395,-0.2645648717880249,0.6361269950866699,-0.12849052250385284,-0.35177114605903625,0.670373,-0.170169,0.4514856840556659,0.0009214833292740133,0.23323044537026175,1.0788305187651417,-1.6603615149827309,False
3,1,0.06604643911123276,-1.5868515968322754,0.04841392859816551,-1.5674588680267334,-0.06926727294921875,-0.034081924706697464,0.06604643911123276,-1.5868515968322754,0.04841392859816551,-1.5674588680267334,-0.06926727294921875,-0.034081924706697464,0.644773006439209,-0.9335774779319763,-0.035792455077171326,0.6158387660980225,-0.16959279775619507,0.48266226053237915,0.670373,-0.170169,0.4514856840556659,0.0009214833292740133,0.23323044537026175,1.0788305187651417,-1.6703615149827309,False
4,1,0.06604643911123276,-1.5868515968322754,0.04841392859816551,-1.5674588680267334,-0.06926727294921875,-0.034081924706697464,0.06604643911123276,-1.5868515968322754,0.04841392859816551,-1.5674588680267334,-0.06926727294921875,-0.034081924706697464,0.9263263940811157,-0.3925166428089142,0.9768052697181702,-0.8919292092323303,0.4786142408847809,-0.809012234210968,0.670373,-0.170169,0.4514856840556659,0.0009214833292740133,0.23323044537026175,1.0788305187651417,-1.680361514982731,False
5,1,0.06604643911123276,-1.5868515968322754,0.04841392859816551,-1.5674588680267334,-0.06926727294921875,-0.034081924706697464,0.06604643911123276,-1.5868515968322754,0.04841392859816551,-1.5674588680267334,-0.06926727294921875,-0.034081924706697464,0.4002320468425751,-0.7076976895332336,-0.7710310220718384,0.9531441330909729,0.12028012424707413,-0.24566179513931274,0.670373,-0.170169,0.4514856840556659,0.0009214833292740133,0.23323044537026175,1.0788305187651417,-1.690361514982731,False
6,1,0.06604643911123276,-1.5868515968322754,0.04841392859816551,-1.5674588680267334,-0.06926727294921875,-0.034081924706697464,0.06604643911123276,-1.5868515968322754,0.04841392859816551,-1.5674588680267334,-0.06926727294921875,-0.034081924706697464,0.20635256171226501,-0.7920360565185547,-0.4743121266365051,0.9284223914146423,-0.7786769866943359,0.8909847736358643,0.670373,-0.170169,0.4514856840556659,0.0009214833292740133,0.23323044537026175,1.0788305187651417,-1.700361514982731,False
7,1,0.06604643911123276,-1.5868515968322754,0.04841392859816551,-1.5674588680267334,-0.06926727294921875,-0.034081924706697464,0.06405942887067795,-1.5882635116577148,0.04577100649476051,-1.5610933303833008,-0.07054847478866577,-0.03760545328259468,0.022323986515402794,0.35676729679107666,0.018599968403577805,-0.5017929673194885,0.5890507102012634,0.9541998505592346,0.670373,-0.170169,0.4514856840556659,0.0009214833292740133,0.23323044537026175,1.0788305187651417,-1.710361514982731,False
8,1,0.06405942887067795,-1.5882635116577148,0.04577100649476051,-1.5610933303833008,-0.07054847478866577,-0.03760545328259468,0.06495562940835953,-1.5846964120864868,0.047399286180734634,-1.5678611993789673,-0.06466235965490341,-0.027410903945565224,-0.5530957579612732,0.8718894124031067,-0.5689198970794678,0.15718597173690796,0.810451865196228,-0.4864608645439148,0.670373,-0.170169,0.4514856840556659,0.0021514270453836526,0.2333235472546939,1.078838298541009,-1.7195827565772561,False
9,1,0.06495562940835953,-1.5846964120864868,0.047399286180734634,-1.5678611993789673,-0.06466235965490341,-0.027410903945565224,0.06143254414200783,-1.5786839723587036,0.047608405351638794,-1.5681535005569458,-0.05967077612876892,-0.0346757136285305,0.3015555143356323,0.501374363899231,0.6220284104347229,0.06600388884544373,-0.9730084538459778,0.6814848184585571,0.670373,-0.170169,0.4514856840556659,0.008048889533156843,0.23365765598123808,1.0787364249528875,-1.7257284479249542,False
10,1,0.06143254414200783,-1.5786839723587036,0.047608405351638794,-1.5681535005569458,-0.05967077612876892,-0.0346757136285305,0.06223073974251747,-1.579853892326355,0.051276687532663345,-1.5702441930770874,-0.06035148352384567,-0.03468214347958565,0.08709041774272919,-0.5284932255744934,-0.10328251868486404,-0.10722179710865021,-0.5060495734214783,-0.7343597412109375,0.670373,-0.170169,0.4514856840556659,0.008451466018825026,0.2336966385410937,1.0786850354934296,-1.7354446798819056,False
11,1,0.06223073974251747,-1.579853892326355,0.051276687532663345,-1.5702441930770874,-0.06035148352384567,-0.03468214347958565,0.06689503788948059,-1.5779457092285156,0.06231040135025978,-1.572221279144287,-0.07203151285648346,-0.026449067518115044,-0.9620523452758789,-0.26554277539253235,-0.4857323169708252,0.34836268424987793,0.20430049300193787,-0.33309975266456604,0.670373,-0.170169,0.4514856840556659,0.015828880460120275,0.2342204103048379,1.0782876472634906,-1.740525800376603,False
